gameID,Win,TechReb,OppoReb
400841626,True,34,34
400841687,False,33,40
400870723,False,32,40
400910775,False,29,35
400919403,True,36,36
400915103,False,38,34
400919404,True,44,36
400919405,True,40,34
400915539,False,44,48
400919406,True,41,30
400919407,True,40,30
400915977,False,30,35
400919408,True,29,24
400919409,True,40,17
400918767,False,31,33
400919410,True,52,36
400919411,True,47,39
400919412,True,35,37
400919413,False,34,46
400919351,True,32,27
400919414,True,27,27
400919415,True,33,39
400919416,True,49,36
400919417,False,38,35
400919418,False,31,39
400919419,True,32,35
400919420,True,39,41
400919421,True,35,33
400919422,True,35,32
400919379,True,34,37
400919398,True,39,32
400919423,True,44,41
400919424,False,41,28
400919425,True,38,32
400946107,True,46,35
400946190,False,43,31
400992537,True,37,32
400990880,True,37,37
400991238,True,42,41
400989881,True,35,38
401001951,True,36,34
400987208,False,36,43
400992561,True,42,29
400988959,False,30,29
400992564,True,42,32
400990404,False,28,32
400989260,False,36,39
400992845,True,28,32
401005577,True,35,25
400992577,False,44,40
400992584,False,38,33
400992587,False,34,44
400992595,True,33,27
400992600,False,26,41
400992611,False,31,32
400992613,True,41,40
400992620,True,38,37
400992631,True,34,33
400992636,True,37,35
400992646,False,41,30
400992649,True,26,37
400992656,False,32,28
400992664,True,33,45
400992671,False,25,44
400992676,False,27,32
400992686,False,36,36
400992693,False,34,30
401020708,True,31,33
401020712,False,33,36
401084645,True,37,26
401088163,True,43,29
401098473,True,46,23
401083107,False,42,38
401088164,True,47,33
401088165,False,31,41
401083913,False,23,22
401088166,True,42,31
401088167,True,31,34
401088168,True,32,39
401088169,True,36,31
401088006,True,38,34
401088170,True,35,42
401088171,True,41,35
401088172,False,35,40
401088173,False,32,45
401088174,True,36,36
401088175,True,28,40
401088176,False,40,31
401087325,False,39,32
401088177,True,41,37
401088178,True,36,35
401087347,False,36,45
401087366,False,45,42
401088179,False,36,40
401088180,True,36,38
401088181,True,41,39
401118856,True,35,35
401118862,False,35,33
401118866,False,37,43
401118871,True,26,35
401121639,True,36,35
401121634,False,29,36
401175857,True,34,31
401175858,True,45,46
401168315,False,43,34
401175859,True,56,49
401170375,True,34,35
401166096,False,29,38
401175860,True,42,37
401169877,True,34,31
401175861,False,35,38
401174748,True,48,35
401175836,True,28,23
401175862,True,43,41
401175863,True,41,33
401175864,True,37,36
401175865,False,32,39
401175866,True,31,33
401175867,True,40,30
401175868,False,36,28
401175869,True,35,32
401175870,True,39,24
401175871,True,27,23
401175872,True,28,40
401175893,False,31,29
401175894,False,43,32
401175895,True,41,38
401175896,True,37,43
401212053,True,32,28
401212060,False,46,35
401212070,True,31,37
401212075,True,32,29
401211026
401255049,True,43,45
401255050,True,37,34
401255051,True,48,25
401255052,False,33,46
401255053,True,33,31
401253503,False,32,49
401255054,True,37,37
401255055,True,49,35
401255056,True,40,34
401254678,True,42,36
401254679,False,41,39
401254712,False,33,46
401254713,True,31,34
401254000,True,46,31
401254001,True,44,31
401255057,False,48,34
401255058,True,41,29
401254692,True,39,33
401281615,True,33,40
401254571,True,32,28
401254572,False,30,37
401254710,True,35,28
401254711,True,32,35
401255059
401255060
401301213
401255061,True,49,34
401255062,True,40,31
401310113,True,48,34
401301267,True,37,31
401301470,False,39,30
401371819,False,37,51
401378647,True,34,38
401383806,True,56,31
401371603,True,33,36
401383807,True,34,29
401370096,False,37,28
401373390,True,34,41
401371137,True,39,36
401378812,True,30,33
401392010,True,34,33
401371862,False,36,43
401383809,True,45,28
401372708,True,44,44
401372709,True,39,35
401372710,True,42,32
401372711,True,32,41
401372712,True,47,31
401372713,True,38,40
401372714,False,30,36
401372715,True,40,41
401372716,False,27,29
401372697,False,29,36
401372717,True,30,36
401372666,True,28,35
401372718,False,42,40
401372719,True,36,35
401372720,True,36,30
401372721,False,28,31
401372722,True,36,40
401372723,False,26,34
401409389,True,37,34
401409394,True,38,31
401409397,True,42,39
401409398,False,34,38
401494593,True,35,33
401483321,False,26,35
401492631,False,25,35
401489492,True,42,25
401494407,True,35,27
401493944,True,29,35
401494594,True,58,31
401493837,True,39,31
401494418,False,28,34
401494595,False,32,35
401487160,False,39,35
401494596,True,50,30
401487307,True,36,25
401486945,False,25,28
401487116,True,35,38
401487162,True,29,33
401490423,False,25,28
401487142,False,35,44
401493093,True,39,33
401489762,False,28,27
401487145,False,41,38
401487313,True,34,39
401487122,True,27,38
401492640,False,46,33
401489728,False,33,34
401490425,False,28,27
401487098,False,29,24
401493094,False,33,34
401489766,False,42,41
401492641,True,42,28
401489750,False,31,30
401515341,True,48,27
401515344,False,21,43
401595309,False,39,23
401600071,True,44,33
401581861,True,38,42
401600072,True,39,35
401579007,True,33,31
401600073,True,45,31
401600074,False,39,47
401584439,True,47,30
401600075,True,42,44
401600076,True,42,25
401597379,True,44,35
401600077,False,32,33
401598979,False,48,42
401584448,False,28,27
401600078,True,38,29
401573582,False,43,33
401573585,True,33,35
401573591,True,41,32
401573597,True,29,28
401573601,True,45,33
401573605,True,49,38
401573611,True,39,23
401573616,False,33,41
401573620,False,31,25
401573625,True,30,37
401573630,True,39,29
401573633,True,45,28
401573636,True,35,22
401573639,True,36,35
401573644,False,35,42
401573650,True,42,31
401625486,False,41,33
401728317,True,47,37
401725797,True,35,35
401718417,True,41,39
401728318,True,32,17
401732168,True,40,44
401732171,True,36,33
401732173,True,41,28
401722138,False,30,34
401722269,False,26,39
401727061,True,36,22
401727056,True,36,34
401725386,True,34,35
401728319,True,56,26
401700175,False,41,34
401700178,False,27,31
401700183,True,32,23
401700188,True,44,23
401700194,False,39,33
401700198,False,32,35
