Date,Tech,Tech Score,Opponent,Opponent Score,W/L/T,City,State,Notes,,,,,Total points scored:
10/17/1930,Louisiana Tech,0,Mississippi College,39,L,"Jackson, MS",MS,,,,,,39
10/25/1930,Louisiana Tech,7,UL-Lafayette,0,W,Lafayette. LA,LA,,,,,,7
11/1/1930,Louisiana Tech,14,Northwestern State,19,L,"Natchitoches, LA",LA,,,,,,33
11/14/1930,Louisiana Tech,0,Millsaps College,19,L,"Jackson, MS",MS,,,,,,19
11/22/1930,Louisiana Tech,0,Centenary,13,L,"Ruston, LA",LA,,,,,,13
11/27/1930,Louisiana Tech,6,Louisiana College,0,W,"Ruston, LA",LA,,,,,,6
10/3/1931,Louisiana Tech,13,Copiah-Lincoln Junior College,7,W,"Ruston, LA",LA,,,,,,20
10/10/1931,Louisiana Tech,39,Union (TN),0,W,"Jackson, TN",TN,,,,,,39
10/17/1931,Louisiana Tech,38,UL-Lafayette,0,W,"Ruston, LA",LA,,,,,,38
10/23/1931,Louisiana Tech,13,Millsaps College,7,W,"Ruston, LA",LA,,,,,,20
10/30/1931,Louisiana Tech,18,Northwestern State,2,W,"Ruston, LA",LA,,,,,,20
11/14/1931,Louisiana Tech,19,Mississippi College,13,W,"Ruston, LA",LA,,,,,,32
11/21/1931,Louisiana Tech,27,Louisiana College,7,W,"Pineville, LA",LA,,,,,,34
10/1/1932,Louisiana Tech,0,Copiah-Lincoln Junior College,2,L,"Ruston, LA",LA,,,,,,2
10/8/1932,Louisiana Tech,46,Union (TN),7,W,"Ruston, LA",LA,,,,,,53
10/14/1932,Louisiana Tech,20,Delta State,0,W,"Ruston, LA",LA,,,,,,20
10/21/1932,Louisiana Tech,15,UL-Lafayette,0,W,Lafayette. LA,LA,,,,,,15
10/28/1932,Louisiana Tech,0,Northwestern State,33,L,"Natchitoches, LA",LA,,,,,,33
11/5/1932,Louisiana Tech,19,Millsaps College,14,W,"Ruston, LA",LA,,,,,,33
11/12/1932,Louisiana Tech,7,Mississippi College,14,L,"Clinton, MS",MS,,,,,,21
11/19/1932,Louisiana Tech,6,Louisiana College,13,L,"Ruston, LA",LA,,,,,,19
9/30/1933,Louisiana Tech,9,Copiah-Lincoln Junior College,10,L,"Ruston, LA",LA,,,,,,19
10/7/1933,Louisiana Tech,0,Henderson State,7,L,"Ruston, LA",LA,,,,,,7
10/14/1933,Louisiana Tech,7,UL-Lafayette,13,L,"Ruston, LA",LA,,,,,,20
10/20/1933,Louisiana Tech,10,Texas Tech,40,L,"Lubbock, TX",TX,,,,,,50
10/28/1933,Louisiana Tech,6,Northwestern State,0,W,"Ruston, LA",LA,,,,,,6
11/4/1933,Louisiana Tech,0,Millsaps College,3,L,"Jackson, MS",MS,,,,,,3
11/11/1933,Louisiana Tech,0,College of the Ozarks,40,L,"Ruston, LA",LA,,,,,,40
11/18/1933,Louisiana Tech,0,Louisiana College,30,L,"Pineville, LA",LA,,,,,,30
9/21/1934,Louisiana Tech,7,Holmes Junior College,0,W,"Ruston, LA",LA,,,,,,7
9/28/1934,Louisiana Tech,7,Southern Arkansas,0,W,"Ruston, LA",LA,,,,,,7
10/5/1934,Louisiana Tech,0,Henderson State,27,L,"Arkadelphia, AR",AR,,,,,,27
10/12/1934,Louisiana Tech,0,UL-Lafayette,25,L,Lafayette. LA,LA,,,,,,25
10/20/1934,Louisiana Tech,41,Lambuth College,0,W,"Ruston, LA",LA,,,,,,41
10/26/1934,Louisiana Tech,0,Northwestern State,6,L,"Natchitoches, LA",LA,,,,,,6
11/3/1934,Louisiana Tech,7,Millsaps College,13,L,"Ruston, LA",LA,,,,,,20
11/10/1934,Louisiana Tech,0,Mississippi College,32,L,"Vicksburg, MS",MS,,,,,,32
11/17/1934,Louisiana Tech,26,Delta State,0,W,"Cleveland, MS",MS,,,,,,26
11/24/1934,Louisiana Tech,0,Louisiana College,13,L,"Ruston, LA",LA,,,,,,13
10/4/1935,Louisiana Tech,44,Tennessee Tech,0,W,"Ruston, LA",LA,first night game in Tech history,,,,,44
10/11/1935,Louisiana Tech,25,UL-Lafayette,0,W,"Ruston, LA",LA,,,,,,25
10/19/1935,Louisiana Tech,27,Union (TN),0,W,"Ruston, LA",LA,,,,,,27
10/26/1935,Louisiana Tech,32,Northwestern State,0,W,"Ruston, LA",LA,,,,,,32
11/2/1935,Louisiana Tech,20,Millsaps College,21,L,"Ruston, LA",LA,,,,,,41
11/9/1935,Louisiana Tech,21,Mississippi College,7,W,"Ruston, LA",LA,,,,,,28
11/23/1935,Louisiana Tech,25,Louisiana College,7,W,"Pineville, LA",LA,,,,,,32
11/28/1935,Louisiana Tech,27,Southern Miss,0,W,"Ruston, LA",LA,,,,,,27
12/14/1935,Louisiana Tech,32,Tampa,7,W,"Tampa, FL",FL,,,,,,39
10/2/1936,Louisiana Tech,44,Memphis,0,W,"Ruston, LA",LA,,,,,,44
10/8/1936,Louisiana Tech,20,UL-Lafayette,7,W,Lafayette. LA,LA,,,,,,27
10/16/1936,Louisiana Tech,7,Southern Miss,12,L,"Ruston, LA",LA,,,,,,19
10/24/1936,Louisiana Tech,32,Northwestern State,0,W,"Natchitoches, LA",LA,,,,,,32
10/31/1936,Louisiana Tech,13,Tulane,22,L,"Natchitoches, LA",LA,,,,,,35
11/6/1936,Louisiana Tech,6,Tampa,0,W,"New Orleans, LA",LA,,,,,,6
11/14/1936,Louisiana Tech,13,Millsaps College,0,W,"Ruston, LA",LA,,,,,,13
11/21/1936,Louisiana Tech,6,Louisiana College,6,T,"Ruston, LA",LA,,,,,,12
11/26/1936,Louisiana Tech,12,Illinois Wesleyan,0,W,"Ruston, LA",LA,,,,,,12
