,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
111,Louisiana Tech,Q3 10:52,1,2,Pass Incompletion,98,0,Trey Kukuk pass incomplete to Devin Gandy,401757221103894708,10,0
112,Louisiana Tech,Q3 8:32,2,2,Rushing Touchdown,98,2,Clay Thevenin run for 2 yds for a TD (Drew Henderson KICK),401757221103916701,17,0
113,SE Louisiana,Q3 8:32,1,10,Kickoff,35,-65,John Hoyet Chance kickoff for 65 yds for a touchback,401757221103916703,17,0
114,SE Louisiana,Q3 8:32,1,10,Touchback,100,25,John Hoyet Chance kickoff for 65 yds for a touchback,401757221103916703,17,0
115,SE Louisiana,Q3 8:32,1,10,Pass Reception,75,7,Carson Camp pass complete to Jaylon Domingeaux for 7 yds to the SELA 32,401757221103916705,0,17
116,SE Louisiana,Q3 8:32,2,3,Rush,68,4,Rodeo Graham Jr. run for 4 yds to the SELA 36 for a 1ST down,401757221103916706,0,17
117,SE Louisiana,Q3 8:32,1,10,Rush,64,9,Rodeo Graham Jr. run for 9 yds to the SELA 45,401757221103916707,0,17
118,SE Louisiana,Q3 8:32,2,1,Rush,55,12,Carson Camp run for 12 yds to the LT 43 for a 1ST down,401757221103916708,0,17
119,SE Louisiana,Q3 8:32,1,10,Timeout,43,0,"Timeout Louisiana Tech, clock 08:32",401757221103916709,0,17
120,SE Louisiana,Q3 8:32,1,10,Rush,43,7,Kyle Lowe run for 7 yds to the LT 36,401757221103916710,0,17
121,SE Louisiana,Q3 8:32,2,3,Rush,36,10,Kyle Lowe run for 10 yds to the LT 26 for a 1ST down,401757221103916711,0,17
122,SE Louisiana,Q3 8:32,1,10,Rush,26,5,Kyle Lowe run for 5 yds to the LT 21,401757221103916712,0,17
123,SE Louisiana,Q3 5:12,2,5,Fumble Return Touchdown,21,80,Kam Franklin 80 Yd Fumble Return (Drew Henderson Kick),401757221103948701,0,24
124,SE Louisiana,Q3 5:12,1,10,Kickoff,35,-65,John Hoyet Chance kickoff for 65 yds for a touchback,401757221103948703,24,0
125,SE Louisiana,Q3 5:12,1,10,Touchback,100,25,John Hoyet Chance kickoff for 65 yds for a touchback,401757221103948703,24,0
126,SE Louisiana,Q3 5:12,1,10,Rush,75,10,Brandon Hayes run for 10 yds to the SELA 35 for a 1ST down,401757221103948705,0,24
127,SE Louisiana,Q3 5:12,1,10,Rush,65,7,Kyle Lowe run for 7 yds to the SELA 42,401757221103948706,0,24
128,SE Louisiana,Q3 5:12,2,3,Rush,58,7,Calvin Smith Jr. run for 7 yds to the SELA 49 for a 1ST down,401757221103948707,0,24
129,SE Louisiana,Q3 5:12,1,10,Pass Incompletion,51,0,Kyle Lowe pass incomplete to Luke Besh,401757221103948708,0,24
130,SE Louisiana,Q3 5:12,2,10,Pass Incompletion,51,0,Kyle Lowe pass incomplete to Adyn Wilkinson,401757221103948709,0,24
131,SE Louisiana,Q3 5:12,3,10,Pass Reception,51,12,Kyle Lowe pass complete to Luke Besh for 12 yds to the LT 39 for a 1ST down,401757221103948710,0,24
132,SE Louisiana,Q3 5:12,1,10,Pass Reception,39,4,Kyle Lowe pass complete to Kentrell Prejean for 4 yds to the LT 35,401757221103948711,0,24
133,SE Louisiana,Q3 5:12,2,6,Penalty,35,-5,"SE Louisiana Penalty, False Start (Luke Besh) to the LT 40",401757221103948712,0,24
134,SE Louisiana,Q3 5:12,3,11,Penalty,40,15,"Shotgun Lowe,Kyle pass incomplete short left to Domingeaux,Jaylon thrown to LAT32 PENALTY LAT Roughing The Passer (Leota,Sifa) 15 yards from LAT40 to LAT25, 1ST DOWN. NO PLAY.",401757221103948713,0,24
135,SE Louisiana,Q3 5:12,1,10,Rush,25,11,Brandon Hayes run for 11 yds to the LT 14 for a 1ST down,401757221103948714,0,24
136,SE Louisiana,Q3 5:12,1,10,Pass Incompletion,14,0,Kyle Lowe pass incomplete to Jaylon Domingeaux,401757221103948715,0,24
137,SE Louisiana,Q3 5:12,2,10,Rush,14,3,Calvin Smith Jr. run for 3 yds to the LT 11,401757221103948716,0,24
138,SE Louisiana,Q3 5:12,3,7,Pass Reception,11,7,Kyle Lowe pass complete to Cade Collier for 7 yds to the LT 4 for a 1ST down,401757221103948717,0,24
139,SE Louisiana,Q3 0:0,1,4,Rush,4,-1,Rodeo Graham Jr. run for a loss of 1 yard to the LT 5,401757221103999901,0,24
140,SE Louisiana,Q3 0:0,0,4,End Period,4,-1,End of 3rd Quarter,401757221103999902,0,24
141,SE Louisiana,Q4 13:35,2,5,Pass Interception Return,5,-28,Kyle Lowe pass intercepted Zion Nason return for 25 yds to the LT 33,401757221104866401,0,24
142,Louisiana Tech,Q4 13:35,1,10,Sack,33,-8,Trey Kukuk sacked for a loss of 8 yards to the LT 25,401757221104866403,24,0
143,Louisiana Tech,Q4 13:35,2,18,Rush,25,-2,Fred Robertson run for a loss of 2 yards to the LT 23,401757221104866404,24,0
144,Louisiana Tech,Q4 13:35,3,20,Pass Reception,23,2,Trey Kukuk pass complete to Marques Singleton Jr. for 2 yds to the LT 21,401757221104866405,24,0
145,Louisiana Tech,Q4 12:41,4,22,Punt,21,52,"John Hoyet Chance punt for 52 yds , Kentrell Prejean returns for 6 yds to the SELA 33",401757221104875801,24,0
146,SE Louisiana,Q4 12:41,4,22,Punt Return,73,6,"John Hoyet Chance punt for 52 yds , Kentrell Prejean returns for 6 yds to the SELA 33",401757221104875801,24,0
147,SE Louisiana,Q4 12:41,1,10,Rush,67,1,Brandon Hayes run for 1 yd to the SELA 34,401757221104875803,0,24
